"miRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","DE_call"
"hsa-miR-126-3p|0",-2.41119060432309,6.14314796580891,-3.89377212538298,0.000175996909353711,0.00915845640179234,0.579037802378844,"DOWN"
"hsa-miR-130a-3p|0",-2.06445355150447,4.32835664719116,-3.80180444888481,0.000244225504047796,0.00915845640179234,0.278245925664659,"DOWN"
"hsa-miR-199b-5p|0",-1.93726586388484,6.66233106096255,-3.27145994947666,0.00145835749660856,0.0264275229669836,-1.34821637347006,"NS"
"hsa-miR-32-5p|0",-1.96810766190687,6.09465754666403,-3.24859503910358,0.0015687408308611,0.0264275229669836,-1.41400278746243,"NS"
"hsa-miR-301a-3p|0",-1.62403705263053,4.34197913256777,-3.21198965151679,0.00176183486446557,0.0264275229669836,-1.51854687222368,"NS"
"hsa-miR-199a-3p+hsa-miR-199b-3p|0",-1.49038104064229,6.58350459695764,-3.10413359771202,0.00246734754511426,0.0308418443139283,-1.82096641083828,"NS"
"hsa-miR-450a-5p|0",-1.65732751362765,6.26725926462338,-3.01689919380817,0.00322116325044648,0.0337860013421078,-2.05934223250842,"NS"
"hsa-miR-221-3p|0",-1.59618625736038,4.81708311909869,-2.97964428349948,0.00360384014315817,0.0337860013421078,-2.159424675685,"NS"
"hsa-miR-425-5p|0",-1.67342718133465,5.044916930438,-2.90840885215215,0.00445470249839518,0.0371225208199598,-2.347893433761,"NS"
"hsa-miR-185-5p|0",-1.44188900961571,4.70662222359727,-2.85941044534921,0.00514327679158882,0.0385745759369161,-2.47529841891876,"NS"
"hsa-miR-361-5p|0",-1.47783081528208,4.95779425712833,-2.7882694934677,0.00631768062545131,0.0423687600084672,-2.65700589038148,"NS"
"hsa-miR-19a-3p|0",-1.59105392650918,5.72937676003113,-2.76160662629057,0.0068175795450282,0.0423687600084672,-2.72410122037588,"NS"
"hsa-miR-374b-5p|0",-1.43953871589275,4.54309319085461,-2.71781179870973,0.00771744805823562,0.0423687600084672,-2.83310742247463,"NS"
"hsa-miR-145-5p|0",-1.53590797240983,5.62649905687772,-2.70221747149095,0.00806309397530732,0.0423687600084672,-2.87155998165181,"NS"
"hsa-miR-24-3p|0",-1.42385826176454,4.86816804416364,-2.68446064107983,0.00847375200169343,0.0423687600084672,-2.9151123828479,"NS"
"hsa-miR-142-3p|0",-1.6504451960379,13.0067407855372,-2.60618142649506,0.0105196562351092,0.0468122457825789,-3.10414017989752,"NS"
"hsa-miR-582-5p|0",-1.47403262941513,6.28298970475118,-2.59831671067829,0.0107480926815549,0.0468122457825789,-3.12286280521947,"NS"
"hsa-miR-30e-5p|0",-1.40503261720997,5.31072312966748,-2.53327754625344,0.0128154738243374,0.0468122457825789,-3.27579655500645,"NS"
"hsa-miR-148a-3p|0",-1.38677958179778,7.404363807085,-2.51881803744735,0.0133210268935055,0.0468122457825789,-3.30933471604786,"NS"
"hsa-miR-340-5p|0",-1.28546950660116,5.16197139065819,-2.49532441992574,0.0141806662403218,0.0468122457825789,-3.36346678112767,"NS"
"hsa-miR-30d-5p|0",-1.23868668887418,5.53231140184181,-2.48178725715023,0.0146982476776331,0.0468122457825789,-3.39445492095396,"NS"
"hsa-miR-19b-3p|0",-1.3699661108908,7.27095264083564,-2.48048608093844,0.0147488763549884,0.0468122457825789,-3.39742562807762,"NS"
"hsa-miR-140-5p|0",-1.30901978772146,6.15807158535352,-2.4756171571975,0.0149397122482877,0.0468122457825789,-3.40852963147703,"NS"
"hsa-miR-148b-3p|0",-1.15947525378709,5.18935797254958,-2.4745984404248,0.0149799186504253,0.0468122457825789,-3.41085046586761,"NS"
"hsa-miR-1537-3p|0",-1.5156623376359,5.0896952148675,-2.40722619649655,0.017863325338818,0.0535899760164539,-3.56245809422476,"NS"
"hsa-miR-20a-5p+hsa-miR-20b-5p|0",-1.31208414292795,6.84498227416818,-2.37999544150936,0.0191623108396723,0.0552758966529008,-3.62267975200042,"NS"
"hsa-miR-106b-5p|0",-1.32053215575351,5.95514501649548,-2.35972799765014,0.0201828287965952,0.0560634133238755,-3.66710516482955,"NS"
"hsa-miR-6721-5p|0",1.17073821592978,4.56518513866781,2.32224837169624,0.0221974044543683,0.0594573333599152,-3.74836357967132,"NS"
"hsa-miR-191-5p|0",-1.099697279013,10.1593229460442,-2.3060897034076,0.023119354039208,0.0597914328600208,-3.78303687792937,"NS"
"hsa-miR-29c-3p|0",-1.25996729717858,6.51235581710738,-2.26744004299153,0.0254626302542216,0.0636565756355539,-3.8650882356405,"NS"
"hsa-miR-106a-5p+hsa-miR-17-5p|0",-1.10885241285614,6.72040151782504,-2.2118837236401,0.0291954639126219,0.0706341868853755,-3.98083863956721,"NS"
"hsa-miR-1260a|0",-1.04580843581779,4.52357909538435,-2.13803449978953,0.0348915389047814,0.0805776796708077,-4.13066759020515,"NS"
"hsa-miR-21-5p|0",-1.23942879866097,7.74640275245198,-2.13132125930785,0.0354541790551554,0.0805776796708077,-4.14405806682532,"NS"
"hsa-miR-374a-5p|0",-1.13498334862461,8.11868763983826,-2.11841590670618,0.0365578738017953,0.0806423686804308,-4.16969160589851,"NS"
"hsa-miR-93-5p|0",-1.0198881205103,8.69384674135844,-2.08517983168152,0.0395379810817377,0.0823939911031143,-4.23505214743257,"NS"
"hsa-miR-23a-3p|0",-0.989590811561431,10.1514078975591,-2.07413261343164,0.0405738079043794,0.0823939911031143,-4.25656754361574,"NS"
"hsa-let-7d-5p|0",-0.946034804540592,7.44843385019962,-2.07335383013465,0.0406477022775364,0.0823939911031143,-4.25808033768779,"NS"
"hsa-miR-15a-5p|0",-1.16909409095481,9.39472751529461,-2.05858045762686,0.0420715440902033,0.0830359422832959,-4.28667904355884,"NS"
"hsa-miR-144-3p|0",-1.33967321209112,8.38751570914346,-2.01478514937307,0.0465466787546773,0.0895128437589949,-4.37035449275043,"NS"
"hsa-miR-107|0",-0.994468074997709,5.52426936960781,-1.97826543239824,0.0505833931003663,0.0948438620631869,-4.43886104639459,"NS"
"hsa-miR-612|0",0.813641409571709,5.06426134046615,1.96521020416995,0.052096934266149,0.095299269999053,-4.46307019606742,"NS"
"hsa-miR-98-5p|0",-0.906706208535307,4.94883902560505,-1.91780962536132,0.0579192544710396,0.103427240126856,-4.54971977026629,"NS"
"hsa-miR-29b-3p|0",-1.1492758217658,9.4796031393486,-1.87959240241259,0.063004640569805,0.108964204159963,-4.61815103501957,"NS"
"hsa-miR-424-5p|0",-1.06020388586577,6.29284432009547,-1.87294992969855,0.0639256664405114,0.108964204159963,-4.62991419456792,"NS"
"hsa-miR-361-3p|0",-0.825094531508785,4.92204049773276,-1.81136832493696,0.073013398845098,0.121688998075163,-4.7371180097936,"NS"
"hsa-miR-223-3p|0",-0.916510889177816,14.412439935837,-1.77700571204934,0.078534570740507,0.128045495772566,-4.79547979588013,"NS"
"hsa-miR-423-5p|0",-0.816394051920538,5.14452355435117,-1.71633457743884,0.0891225053808092,0.142216763905547,-4.89595986765972,"NS"
"hsa-miR-197-3p|0",-0.862654368071615,4.99741535155267,-1.70582891226103,0.0910693883162798,0.142295919244187,-4.91302494954253,"NS"
"hsa-miR-222-3p|0",-0.856813576622982,6.85298176837505,-1.62986460738891,0.106200451184918,0.162551710997323,-5.03347200848384,"NS"
"hsa-miR-15b-5p|0",-0.696736429742947,10.1977800601964,-1.47954467997217,0.142062667491746,0.212106340299622,-5.25643567999853,"NS"
"hsa-miR-194-5p|0",-0.731337256584191,4.42987863539473,-1.47145611860404,0.144232311403743,0.212106340299622,-5.26784950370798,"NS"
"hsa-miR-30b-5p|0",-0.733588646965615,4.8000601914189,-1.42554851459551,0.157037861377398,0.22649691544817,-5.33149397935449,"NS"
"hsa-miR-155-5p|0",-0.647252893201419,4.90010838341752,-1.33998866632072,0.18321295726792,0.256557260958716,-5.44493493866203,"NS"
"hsa-miR-186-5p|0",-0.67727649015047,5.20390362941489,-1.33534823876898,0.184721227890276,0.256557260958716,-5.45089419371938,"NS"
"hsa-miR-146a-5p|0",-0.751455083475755,6.31438812086642,-1.26756029622638,0.2078279492938,0.283401749037,-5.53567027509669,"NS"
"hsa-miR-28-5p|0",-0.530139183497475,5.65365128253095,-1.23238698013782,0.220624801670996,0.292575663518423,-5.57797369982364,"NS"
"hsa-let-7c-5p|0",-0.571686631512093,4.69965791268496,-1.22773990053634,0.222357504274002,0.292575663518423,-5.58347649268325,"NS"
"hsa-miR-25-3p|0",-0.510166167182136,9.32165166966043,-1.19147716178705,0.236218718317949,0.305455239204244,-5.625723395958,"NS"
"hsa-let-7f-5p|0",-0.631893019683323,5.69494449763441,-1.14362864093201,0.255442379569777,0.324714889283615,-5.67958323287343,"NS"
"hsa-miR-146b-5p|0",-0.603980796112936,4.88933748136213,-1.08199003844055,0.281796669566822,0.352245836958527,-5.74579441137182,"NS"
"hsa-let-7g-5p|0",-0.50847992103742,9.87076914386206,-1.0570215276773,0.29298739572409,0.360230404578799,-5.77159595596751,"NS"
